letter,Total_count,UpperCase_count,Percentage
a,104,11,10.576923076923077
b,18,9,50.0
c,9,0,0.0
d,48,0,0.0
e,128,0,0.0
f,14,0,0.0
g,15,1,6.666666666666667
h,42,3,7.142857142857142
i,95,1,1.0526315789473684
j,1,0,0.0
k,7,3,42.857142857142854
l,88,3,3.4090909090909087
m,20,0,0.0
n,90,30,33.33333333333333
o,83,8,9.63855421686747
p,49,10,20.408163265306122
q,1,0,0.0
r,47,1,2.127659574468085
s,108,0,0.0
t,44,4,9.090909090909092
u,32,0,0.0
v,30,0,0.0
w,56,8,14.285714285714285
x,4,0,0.0
y,18,5,27.77777777777778
z,2,2,100.0
